customer_id,tenure_months,contract_type,monthly_charges,support_tickets_30d,latest_support_log,text_negative_score,text_neutral_score,text_positive_score,churn,nlp_frustration_score,nlp_disappointment_score,nlp_neutral_score,nlp_primary_aspect,nlp_urgency_score
1001,29,Month-to-month,116.66,0,"Smooth onboarding experience, everything is highly intuitive and well-documented.",0.0244,0.1805,0.7951,1,0.0,0.0,1.0,SLA/Technical Product bugs,0.2512
1002,15,One year,116.39,3,"Smooth onboarding experience, everything is highly intuitive and well-documented.",0.0456,0.1025,0.8519,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.3146
1003,8,Month-to-month,106.93,2,Your service has constant downtime. My team can't access our dashboard during market hours.,0.8731,0.1172,0.0096,1,0.0,0.0,1.0,SLA/Technical Product bugs,0.2905
1004,21,Month-to-month,113.26,2,Terrible customer service. I've asked for a refund three times on this disputed contract.,0.8808,0.1083,0.0109,1,0.3531,0.1358,0.5111,Financial/Billing issues,0.6759
1005,19,One year,95.12,0,"Is it possible to upgrade my tier package mid-month, and how will the pricing be prorated?",0.0268,0.8813,0.092,0,0.0,0.0,1.0,Account Query/Documentation help,0.2272
1006,23,One year,60.21,1,"Smooth onboarding experience, everything is highly intuitive and well-documented.",0.0373,0.1556,0.8071,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.2272
1007,11,Two year,71.47,1,Support resolved my account login issue within five minutes. Fantastic service as usual.,0.0072,0.1727,0.8201,0,0.0,0.0,1.0,Positive Engagement,0.2164
1008,11,One year,51.78,1,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.1422,0.7257,0.1322,0,0.0,0.0,1.0,Account Query/Documentation help,0.3053
1009,24,One year,139.0,4,"Thanks for fixing that minor dashboard bug so quickly, everything runs great now.",0.0356,0.208,0.7564,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.2761
1010,24,Month-to-month,100.0,1,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.1203,0.7664,0.1133,0,0.0,0.0,1.0,Account Query/Documentation help,0.2879
1011,3,Month-to-month,78.09,0,The UI update completely broke my active workflows. I am looking at alternative options.,0.8296,0.1164,0.054,1,0.114,0.209,0.677,SLA/Technical Product bugs,0.2123
1012,22,One year,85.43,1,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.0399,0.7967,0.1634,0,0.0,0.0,1.0,Account Query/Documentation help,0.3167
1013,2,One year,143.66,2,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.9138,0.049,0.0372,0,0.1446,0.2652,0.5902,Financial/Billing issues,0.7016
1014,24,Two year,48.39,0,The new feature release works beautifully. Kudos to the engineering team for the speed boost!,0.038,0.1469,0.8151,0,0.0,0.0,1.0,Positive Engagement,0.4834
1015,30,Month-to-month,100.34,2,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.8522,0.1197,0.0281,1,0.0834,0.1529,0.7637,SLA/Technical Product bugs,0.63
1016,2,Month-to-month,90.7,0,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.8758,0.1016,0.0226,1,0.0834,0.1529,0.7637,SLA/Technical Product bugs,0.6302
1017,21,One year,103.36,2,The new feature release works beautifully. Kudos to the engineering team for the speed boost!,0.0137,0.0894,0.897,0,0.0,0.0,1.0,Positive Engagement,0.4935
1018,33,Month-to-month,32.16,0,How can I download my annual tax invoice? I can't find the button on the settings page.,0.0692,0.7742,0.1566,0,0.0,0.0,1.0,Financial/Billing issues,0.2677
1019,12,Two year,134.64,2,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.106,0.7315,0.1625,0,0.0,0.0,1.0,Account Query/Documentation help,0.2575
1020,22,Two year,141.84,1,Just checking if you support integration with external third-party webhooks yet.,0.1115,0.7317,0.1568,0,0.0,0.0,1.0,Account Query/Documentation help,0.242
1021,25,Month-to-month,97.81,2,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.8664,0.104,0.0296,1,0.0834,0.1529,0.7637,SLA/Technical Product bugs,0.6773
1022,27,One year,113.59,1,"Thanks for fixing that minor dashboard bug so quickly, everything runs great now.",0.0178,0.1758,0.8064,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.2253
1023,28,One year,140.69,0,Just checking if you support integration with external third-party webhooks yet.,0.1027,0.712,0.1853,0,0.0,0.0,1.0,Account Query/Documentation help,0.2421
1024,16,Month-to-month,114.86,3,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.8383,0.1089,0.0528,0,0.0834,0.1529,0.7637,SLA/Technical Product bugs,0.6503
1025,15,Two year,48.29,0,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.0652,0.8177,0.1171,1,0.0,0.0,1.0,Account Query/Documentation help,0.2602
1026,3,Month-to-month,99.14,0,Your service has constant downtime. My team can't access our dashboard during market hours.,0.9024,0.0318,0.0658,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.2964
1027,7,One year,102.8,1,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.1263,0.6736,0.2001,0,0.0,0.0,1.0,Account Query/Documentation help,0.232
1028,21,Month-to-month,80.89,3,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.8337,0.1058,0.0604,1,0.0834,0.1529,0.7637,SLA/Technical Product bugs,0.6666
1029,9,Two year,118.36,5,"Thanks for fixing that minor dashboard bug so quickly, everything runs great now.",0.0316,0.0809,0.8876,1,0.0,0.0,1.0,SLA/Technical Product bugs,0.2752
1030,18,Month-to-month,142.11,0,How can I download my annual tax invoice? I can't find the button on the settings page.,0.1429,0.7615,0.0956,0,0.0,0.0,1.0,Financial/Billing issues,0.2151
1031,4,Month-to-month,141.06,0,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.1187,0.7507,0.1306,0,0.0,0.0,1.0,Account Query/Documentation help,0.2768
1032,25,Two year,84.09,3,Looking for the official documentation regarding your authentication and security protocols.,0.1322,0.749,0.1188,0,0.0,0.0,1.0,Account Query/Documentation help,0.2288
1033,14,Month-to-month,43.58,0,Looking for the official documentation regarding your authentication and security protocols.,0.0899,0.721,0.1892,0,0.0,0.0,1.0,Account Query/Documentation help,0.2172
1034,9,Month-to-month,148.17,0,"Thanks for fixing that minor dashboard bug so quickly, everything runs great now.",0.0263,0.0565,0.9172,1,0.0,0.0,1.0,SLA/Technical Product bugs,0.3144
1035,26,Two year,130.66,1,Looking for the official documentation regarding your authentication and security protocols.,0.1112,0.6953,0.1935,0,0.0,0.0,1.0,Account Query/Documentation help,0.3162
1036,2,Two year,44.95,0,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.9316,0.0484,0.02,0,0.1446,0.2652,0.5902,Financial/Billing issues,0.6989
1037,20,Month-to-month,140.49,1,How can I download my annual tax invoice? I can't find the button on the settings page.,0.1147,0.751,0.1343,0,0.0,0.0,1.0,Financial/Billing issues,0.2435
1038,28,One year,134.38,1,"Thanks for fixing that minor dashboard bug so quickly, everything runs great now.",0.0528,0.1116,0.8356,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.2207
1039,7,Month-to-month,92.25,1,How can I download my annual tax invoice? I can't find the button on the settings page.,0.0128,0.8138,0.1734,0,0.0,0.0,1.0,Financial/Billing issues,0.2853
1040,8,Month-to-month,100.94,1,Support resolved my account login issue within five minutes. Fantastic service as usual.,0.0493,0.118,0.8327,0,0.0,0.0,1.0,Positive Engagement,0.2584
1041,35,Month-to-month,77.87,0,Looking for the official documentation regarding your authentication and security protocols.,0.076,0.794,0.1299,0,0.0,0.0,1.0,Account Query/Documentation help,0.2234
1042,14,One year,36.56,1,Extremely happy with the platform's performance this quarter. Keep up the good work.,0.0437,0.1109,0.8454,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.2645
1043,17,One year,70.21,1,Support resolved my account login issue within five minutes. Fantastic service as usual.,0.014,0.225,0.761,0,0.0,0.0,1.0,Positive Engagement,0.2138
1044,4,One year,126.33,3,Looking for the official documentation regarding your authentication and security protocols.,0.0574,0.7644,0.1782,0,0.0,0.0,1.0,Account Query/Documentation help,0.31
1045,2,One year,30.55,1,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.7908,0.1061,0.1031,1,0.0834,0.1529,0.7637,SLA/Technical Product bugs,0.6385
1046,6,Month-to-month,70.01,0,Extremely happy with the platform's performance this quarter. Keep up the good work.,0.0182,0.2048,0.777,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.2829
1047,4,Month-to-month,77.77,1,"Thanks for fixing that minor dashboard bug so quickly, everything runs great now.",0.031,0.2081,0.7608,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.2443
1048,29,Month-to-month,94.48,2,The UI update completely broke my active workflows. I am looking at alternative options.,0.8989,0.0171,0.084,1,0.114,0.209,0.677,SLA/Technical Product bugs,0.2672
1049,18,Month-to-month,140.37,1,How can I download my annual tax invoice? I can't find the button on the settings page.,0.0835,0.8394,0.0771,0,0.0,0.0,1.0,Financial/Billing issues,0.2701
1050,26,Month-to-month,71.55,1,How can I download my annual tax invoice? I can't find the button on the settings page.,0.0694,0.7612,0.1694,0,0.0,0.0,1.0,Financial/Billing issues,0.2303
1051,34,Two year,71.62,0,"Is it possible to upgrade my tier package mid-month, and how will the pricing be prorated?",0.0666,0.8768,0.0566,0,0.0,0.0,1.0,Account Query/Documentation help,0.3167
1052,10,Month-to-month,118.49,1,How can I download my annual tax invoice? I can't find the button on the settings page.,0.0363,0.7963,0.1674,0,0.0,0.0,1.0,Financial/Billing issues,0.2953
1053,14,Month-to-month,84.26,0,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.1031,0.8339,0.063,0,0.0,0.0,1.0,Account Query/Documentation help,0.3133
