customer_id,tenure_months,contract_type,monthly_charges,support_tickets_30d,latest_support_log,text_negative_score,text_neutral_score,text_positive_score,churn
1001,29,Month-to-month,116.66,0,"Smooth onboarding experience, everything is highly intuitive and well-documented.",0.0244,0.1805,0.7951,1
1002,15,One year,116.39,3,"Smooth onboarding experience, everything is highly intuitive and well-documented.",0.0456,0.1025,0.8519,0
1003,8,Month-to-month,106.93,2,Your service has constant downtime. My team can't access our dashboard during market hours.,0.8731,0.1172,0.0096,1
1004,21,Month-to-month,113.26,2,Terrible customer service. I've asked for a refund three times on this disputed contract.,0.8808,0.1083,0.0109,1
1005,19,One year,95.12,0,"Is it possible to upgrade my tier package mid-month, and how will the pricing be prorated?",0.0268,0.8813,0.092,0
1006,23,One year,60.21,1,"Smooth onboarding experience, everything is highly intuitive and well-documented.",0.0373,0.1556,0.8071,0
1007,11,Two year,71.47,1,Support resolved my account login issue within five minutes. Fantastic service as usual.,0.0072,0.1727,0.8201,0
1008,11,One year,51.78,1,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.1422,0.7257,0.1322,0
1009,24,One year,139.0,4,"Thanks for fixing that minor dashboard bug so quickly, everything runs great now.",0.0356,0.208,0.7564,0
1010,24,Month-to-month,100.0,1,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.1203,0.7664,0.1133,0
1011,3,Month-to-month,78.09,0,The UI update completely broke my active workflows. I am looking at alternative options.,0.8296,0.1164,0.054,1
1012,22,One year,85.43,1,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.0399,0.7967,0.1634,0
1013,2,One year,143.66,2,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.9138,0.049,0.0372,0
1014,24,Two year,48.39,0,The new feature release works beautifully. Kudos to the engineering team for the speed boost!,0.038,0.1469,0.8151,0
1015,30,Month-to-month,100.34,2,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.8522,0.1197,0.0281,1
