Customer ID,Tenure (Mo),Monthly Charge,Urgency Index
1001,29,116.66,0.2512
1003,8,106.93,0.2905
1004,21,113.26,0.6759
1011,3,78.09,0.2123
1015,30,100.34,0.63
1016,2,90.7,0.6302
1021,25,97.81,0.6773
1025,15,48.29,0.2602
1028,21,80.89,0.6666
1029,9,118.36,0.2752
1034,9,148.17,0.3144
1045,2,30.55,0.6385
1048,29,94.48,0.2672
1058,23,89.79,0.6316
1060,16,139.77,0.6458
1064,25,31.56,0.6492
1067,1,145.32,0.6255
1073,8,101.44,0.6106
1079,35,52.87,0.6494
1080,33,34.38,0.2227
1083,7,37.88,0.2464
1084,9,123.05,0.217
1086,12,92.92,0.4958
1088,33,78.08,0.5301
1090,24,48.62,0.2619
1091,35,51.82,0.2232
1096,35,107.27,0.2643
1098,3,33.04,0.257
1099,1,48.73,0.6128
1100,5,115.91,0.6219
1101,26,109.06,0.6135
1111,4,58.57,0.6419
1114,15,116.66,0.2989
1125,20,33.17,0.6351
1126,30,51.76,0.257
1127,11,99.95,0.3
1129,25,137.11,0.6108
1142,32,121.62,0.2377
1144,24,134.21,0.2431
1147,3,125.97,0.2771
1149,2,32.69,0.2157
1155,1,130.18,0.3184
1157,2,93.07,0.6839
1163,11,99.17,0.6797
1174,6,102.05,0.6349
1176,29,51.03,0.2292
1177,3,139.72,0.686
1181,3,35.63,0.6475
1186,33,59.43,0.6826
1187,18,76.71,0.2999
1188,1,64.63,0.6711
1189,11,72.67,0.6683
1193,31,87.12,0.559
1199,2,61.46,0.3076
1200,1,101.4,0.6958
1201,12,36.16,0.2806
1210,24,112.6,0.6277
1211,33,82.17,0.2704
1212,24,59.56,0.2861
1213,11,128.28,0.6817
1214,8,125.92,0.2347
1216,35,62.65,0.6361
1219,25,40.98,0.2815
1221,18,46.41,0.2823
1223,2,83.51,0.6203
1224,35,52.21,0.6504
1228,33,126.78,0.2532
1231,20,131.89,0.2974
1234,3,56.54,0.2642
1237,12,34.72,0.6409
1242,27,139.85,0.3149
1244,34,113.68,0.2507
1250,5,133.44,0.7038
1258,6,39.22,0.6866
1265,21,124.88,0.3065
1266,32,68.24,0.2915
1269,3,103.89,0.6495
1270,18,57.95,0.6423
1273,3,32.54,0.7054
1279,27,72.08,0.6872
1280,2,122.05,0.6975
1289,24,118.5,0.2415
1293,1,64.46,0.7005
1297,12,32.13,0.2947
1305,22,40.72,0.2899
1306,25,80.1,0.3173
1310,15,103.6,0.6398
1311,33,50.03,0.2583
1314,4,143.12,0.7159
1316,32,102.92,0.2866
1318,35,57.67,0.2291
1320,13,56.45,0.2375
1326,26,136.04,0.6912
1330,12,77.54,0.2373
1332,1,113.51,0.2934
1336,1,56.85,0.2145
1337,16,94.43,0.3041
1342,12,61.86,0.2621
1350,30,40.43,0.6788
1352,12,74.71,0.3042
1353,16,61.16,0.2825
1358,30,111.98,0.6744
1359,23,39.13,0.5634
1362,34,87.66,0.6808
1363,31,101.08,0.2604
1365,19,71.73,0.3136
1368,5,62.03,0.3096
1378,24,104.22,0.2126
1381,33,135.69,0.623
1384,3,129.09,0.7065
1389,13,128.15,0.6926
1392,2,30.76,0.6554
